,t1_inhibitorKills,t1_dragonKills,t1_baronKills,t2_inhibitorKills,t2_dragonKills,t2_baronKills,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
350,2,3,1,0,0,0,1,1,1,1,1,1,1
351,3,3,0,0,0,0,1,1,1,0,1,0,1
352,0,1,0,2,2,0,2,2,2,0,1,0,2
353,0,1,0,2,1,0,2,2,2,0,1,2,2
354,0,2,0,2,1,1,2,2,2,2,1,2,2
355,1,3,1,0,1,0,1,1,1,1,2,0,1
356,0,1,0,4,4,2,1,2,2,2,2,0,2
357,2,2,1,0,2,0,1,1,1,1,1,1,1
358,0,0,0,2,2,0,1,2,2,0,2,1,2
359,0,0,0,2,2,0,2,2,2,0,2,2,2
360,0,0,0,2,3,1,2,2,2,2,2,2,2
361,0,2,0,2,1,1,2,1,2,2,2,0,2
362,2,0,2,1,5,0,1,2,1,1,2,0,1
363,3,2,1,0,1,0,1,1,1,1,1,1,1
364,0,0,0,2,2,0,2,2,2,0,2,0,2
365,0,0,0,1,2,0,2,1,2,0,2,0,2
366,2,2,0,0,0,0,2,1,1,0,1,0,1
367,0,0,0,3,2,0,2,2,2,0,2,0,2
368,0,0,0,0,0,0,2,0,0,0,0,0,2
369,0,0,0,1,2,0,2,2,2,0,2,0,2
370,3,3,1,0,0,0,1,1,1,1,1,0,1
371,0,0,0,2,2,0,2,1,2,0,2,1,2
372,0,1,0,4,2,2,2,1,2,2,1,2,2
373,3,2,1,0,1,0,1,2,1,1,2,1,1
374,0,3,0,4,1,2,1,1,2,2,2,0,2
375,1,2,0,0,0,0,1,1,1,0,1,1,1
376,4,3,0,0,1,1,2,1,1,2,1,1,1
377,0,0,0,0,0,0,1,0,0,0,0,0,1
378,2,4,1,7,2,1,2,2,2,1,1,0,1
379,2,3,0,0,0,1,2,2,1,2,1,0,1
380,0,1,0,3,3,1,1,1,2,2,2,2,2
381,2,4,1,0,0,0,1,1,1,1,1,0,1
382,1,2,1,0,1,1,1,2,1,2,2,1,1
383,0,0,0,2,3,1,2,2,2,2,2,0,2
384,0,2,1,4,2,1,2,1,2,1,1,1,2
385,0,2,0,2,1,1,2,2,2,2,1,0,2
386,0,1,0,2,2,0,2,2,2,0,2,2,2
387,0,0,0,2,4,0,2,2,2,0,2,2,2
388,0,1,0,1,1,1,2,1,2,2,1,0,2
389,0,0,0,1,2,0,1,1,2,0,2,0,2
390,0,0,0,1,3,0,1,1,2,0,2,0,2
391,3,4,2,0,0,0,1,2,1,1,1,1,1
392,0,0,0,0,1,0,2,2,0,0,2,2,2
393,0,2,0,4,2,2,2,2,2,2,2,0,2
394,1,1,1,0,2,0,2,1,1,1,2,2,1
395,0,1,0,2,4,1,2,2,2,2,2,2,2
396,1,4,0,1,0,1,1,2,1,2,1,2,2
397,0,1,0,1,1,1,1,2,2,2,1,0,2
398,2,0,0,1,3,0,1,1,1,0,2,0,2
399,0,1,1,1,2,0,1,1,2,1,1,0,2
